"FieldGoalDistance","FieldGoalResult","HomeTeam","Month","KickerName","desc"
37,1,"NE","9","N.Folk","(4:06) N.Folk 37 yard field goal is GOOD, Center-T.Purdum, Holder-R.Malone."
30,1,"NE","9","S.Gostkowski","(5:09) S.Gostkowski 30 yard field goal is GOOD, Center-D.Aiken, Holder-R.Allen."
43,0,"NE","9","S.Gostkowski","(:04) S.Gostkowski 43 yard field goal is No Good, Wide Left, Center-D.Aiken, Holder-R.Allen."
29,1,"ATL","9","G.Zuerlein","(6:33) G.Zuerlein 29 yard field goal is GOOD, Center-J.McQuaide, Holder-J.Hekker."
38,1,"ATL","9","M.Bryant","(:14) M.Bryant 38 yard field goal is GOOD, Center-J.Harris, Holder-M.Bosher."
49,1,"PHI","9","N.Novak","(7:32) N.Novak 49 yard field goal is GOOD, Center-M.Windt, Holder-M.Scifres."
25,1,"PHI","9","A.Henery","(5:33) A.Henery 25 yard field goal is GOOD, Center-J.Dorenbos, Holder-D.Jones."
44,1,"PHI","9","N.Novak","(8:06) N.Novak 44 yard field goal is GOOD, Center-M.Windt, Holder-M.Scifres."
46,0,"PHI","9","A.Henery","(:09) A.Henery 46 yard field goal is No Good, Wide Right, Center-J.Dorenbos, Holder-D.Jones."
48,1,"PHI","9","A.Henery","(6:50) A.Henery 48 yard field goal is GOOD, Center-J.Dorenbos, Holder-D.Jones."
33,1,"PHI","9","N.Novak","(10:51) N.Novak 33 yard field goal is GOOD, Center-M.Windt, Holder-M.Scifres."
32,1,"PHI","9","A.Henery","(1:55) A.Henery 32 yard field goal is GOOD, Center-J.Dorenbos, Holder-D.Jones."
46,1,"PHI","9","N.Novak","(:11) N.Novak 46 yard field goal is GOOD, Center-M.Windt, Holder-M.Scifres."
51,1,"KC","9","D.Bailey","(5:06) D.Bailey 51 yard field goal is GOOD, Center-L.Ladouceur, Holder-C.Jones."
57,0,"KC","9","R.Succop","(:13) R.Succop 57 yard field goal is BLOCKED (O.Scandrick), Center-T.Gafford, Holder-D.Colquitt, RECOVERED by DAL-B.Church at DAL 49. B.Church to KC 49 for 2 yards (J.Allen)."
30,1,"KC","9","D.Bailey","(6:59) D.Bailey 30 yard field goal is GOOD, Center-L.Ladouceur, Holder-C.Jones."
40,1,"KC","9","R.Succop","(14:10) R.Succop 40 yard field goal is GOOD, Center-T.Gafford, Holder-D.Colquitt."
53,1,"KC","9","D.Bailey","(3:55) D.Bailey 53 yard field goal is GOOD, Center-L.Ladouceur, Holder-C.Jones."
52,0,"IND","9","A.Vinatieri","(12:07) A.Vinatieri 52 yard field goal is No Good, Hit Left Upright, Center-M.Overton, Holder-P.McAfee."
30,1,"IND","9","A.Vinatieri","(4:12) A.Vinatieri 30 yard field goal is GOOD, Center-M.Overton, Holder-P.McAfee."
54,1,"IND","9","C.Sturgis","(:02) C.Sturgis 54 yard field goal is GOOD, Center-J.Denney, Holder-B.Fields."
38,1,"IND","9","A.Vinatieri","(11:40) A.Vinatieri 38 yard field goal is GOOD, Center-M.Overton, Holder-P.McAfee."
50,0,"HOU","9","R.Bullock","(2:00) R.Bullock 50 yard field goal is No Good, Wide Right, Center-J.Weeks, Holder-S.Lechler."
50,0,"HOU","9","R.Bullock","(9:27) R.Bullock 50 yard field goal is No Good, Wide Right, Center-J.Weeks, Holder-S.Lechler."
48,0,"HOU","9","R.Bironas","(4:47) R.Bironas 48 yard field goal is No Good, Wide Right, Center-B.Brinkley, Holder-B.Kern."
47,1,"HOU","9","R.Bironas","(:04) R.Bironas 47 yard field goal is GOOD, Center-B.Brinkley, Holder-B.Kern."
46,0,"HOU","9","R.Bullock","(:00) R.Bullock 46 yard field goal is No Good, Hit Left Upright, Center-J.Weeks, Holder-S.Lechler."
28,1,"GB","9","M.Crosby","(8:05) M.Crosby 28 yard field goal is GOOD, Center-B.Goode, Holder-T.Masthay."
50,0,"GB","9","J.Potter","(10:13) J.Potter 50 yard field goal is No Good, Wide Right, Center-N.Sundberg, Holder-S.Rocca."
50,0,"BAL","9","J.Tucker","(11:12) (Field Goal formation) J.Tucker 50 yard field goal is No Good, Wide Right, Center-M.Cox, Holder-S.Koch."
21,1,"BAL","9","B.Cundiff","(8:42) (Field Goal formation) B.Cundiff 21 yard field goal is GOOD, Center-C.Yount, Holder-S.Lanning."
44,0,"BAL","9","J.Tucker","(:42) (Field Goal formation) J.Tucker 44 yard field goal is No Good, Wide Right, Center-M.Cox, Holder-S.Koch."
51,1,"BAL","9","B.Cundiff","(:11) (Field Goal formation) B.Cundiff 51 yard field goal is GOOD, Center-C.Yount, Holder-S.Lanning."
42,0,"BUF","9","D.Carpenter","(8:15) D.Carpenter 42 yard field goal is No Good, Wide Right, Center-G.Sanborn, Holder-S.Powell."
55,1,"BUF","9","D.Carpenter","(10:46) D.Carpenter 55 yard field goal is GOOD, Center-G.Sanborn, Holder-S.Powell."
20,1,"BUF","9","D.Carpenter","(10:52) D.Carpenter 20 yard field goal is GOOD, Center-G.Sanborn, Holder-S.Powell."
27,1,"BUF","9","G.Gano","(12:47) G.Gano 27 yard field goal is GOOD, Center-J.Jansen, Holder-B.Nortman."
25,1,"BUF","9","G.Gano","(8:44) G.Gano 25 yard field goal is GOOD, Center-J.Jansen, Holder-B.Nortman."
48,1,"BUF","9","D.Carpenter","(7:18) D.Carpenter 48 yard field goal is GOOD, Center-G.Sanborn, Holder-S.Powell."
39,1,"BUF","9","G.Gano","(1:42) G.Gano 39 yard field goal is GOOD, Center-J.Jansen, Holder-B.Nortman."
20,1,"CHI","9","R.Gould","(:02) (Field Goal formation) R.Gould 20 yard field goal is GOOD, Center-P.Mannelly, Holder-A.Podlesh."
28,1,"CHI","9","B.Walsh","(2:36) (Field Goal formation) B.Walsh 28 yard field goal is GOOD, Center-C.Loeffler, Holder-J.Locke."
28,1,"CHI","9","B.Walsh","(8:08) (Field Goal formation) B.Walsh 28 yard field goal is GOOD, Center-C.Loeffler, Holder-J.Locke."
22,1,"CHI","9","B.Walsh","(3:17) (Field Goal formation) B.Walsh 22 yard field goal is GOOD, Center-C.Loeffler, Holder-J.Locke."
44,1,"TB","9","G.Hartley","(10:35) (Field Goal formation) G.Hartley 44 yard field goal is GOOD, Center-J.Drescher, Holder-L.McCown."
43,0,"TB","9","G.Hartley","(10:43) (Field Goal formation) G.Hartley 43 yard field goal is No Good, Wide Right, Center-J.Drescher, Holder-L.McCown."
41,1,"TB","9","G.Hartley","(8:09) (Field Goal formation) G.Hartley 41 yard field goal is GOOD, Center-J.Drescher, Holder-L.McCown."
47,0,"TB","9","R.Lindell","(1:10) (Field Goal formation) R.Lindell 47 yard field goal is No Good, Wide Left, Center-A.Economos, Holder-M.Koenen."
27,1,"TB","9","G.Hartley","(:05) (Field Goal formation) G.Hartley 27 yard field goal is GOOD, Center-J.Drescher, Holder-L.McCown."
47,0,"ARI","9","D.Akers","(3:33) D.Akers 47 yard field goal is No Good, Wide Right, Center-D.Muhlbach, Holder-S.Martin."
